"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 12 14:04:13 GMT 2022","Mon Dec 12 14:04:13 GMT 2022","300","","com.demoqa.tests.selenide.AttachmentTests","","com.demoqa.tests.selenide.AttachmentTests","testAnnotatedStep","testAnnotatedStep()",""
"broken","Mon Dec 12 14:04:13 GMT 2022","Mon Dec 12 14:04:13 GMT 2022","223","","com.demoqa.tests.selenide.SelenideTest","","com.demoqa.tests.selenide.SelenideTest","searchIssueTest","searchIssueTest()",""
"broken","Mon Dec 12 14:04:14 GMT 2022","Mon Dec 12 14:04:14 GMT 2022","210","","com.demoqa.tests.selenide.SelenideLambdaTest","","com.demoqa.tests.selenide.SelenideLambdaTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Mon Dec 12 14:04:13 GMT 2022","Mon Dec 12 14:04:13 GMT 2022","0","","com.demoqa.tests.selenide.LabelsTests","","com.demoqa.tests.selenide.LabelsTests","testStaticLabels","Создание Issue для авторизованного пользователя",""
"broken","Mon Dec 12 14:04:12 GMT 2022","Mon Dec 12 14:04:13 GMT 2022","278","","com.demoqa.tests.selenide.AttachmentTests","","com.demoqa.tests.selenide.AttachmentTests","searchIssueTest","searchIssueTest()",""
"broken","Mon Dec 12 14:04:13 GMT 2022","Mon Dec 12 14:04:13 GMT 2022","169","","com.demoqa.tests.selenide.SelenideLambdaTest","","com.demoqa.tests.selenide.SelenideLambdaTest","searchIssueTest","searchIssueTest()",""
"broken","Mon Dec 12 14:04:12 GMT 2022","Mon Dec 12 14:04:12 GMT 2022","309","","com.demoqa.tests.BookStoreWebTests","","com.demoqa.tests.BookStoreWebTests","checkBookDetails","checkBookDetails(String, Map) Check details for {ISBN=9781449325862, Total Pages=234, Title=Git Pocket Guide, Author=Richard E. Silverman, Publisher=O'Reilly Media, Sub Title=A Working Introduction}.",""
"broken","Mon Dec 12 14:04:08 GMT 2022","Mon Dec 12 14:04:12 GMT 2022","4138","","com.demoqa.tests.AutomationPracticeFormTests","","com.demoqa.tests.AutomationPracticeFormTests","fillFormTest","fillFormTest()",""
"passed","Mon Dec 12 14:04:13 GMT 2022","Mon Dec 12 14:04:13 GMT 2022","1","","com.demoqa.tests.selenide.LabelsTests","","com.demoqa.tests.selenide.LabelsTests","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"broken","Mon Dec 12 14:04:12 GMT 2022","Mon Dec 12 14:04:12 GMT 2022","223","","com.demoqa.tests.BookStoreWebTests","","com.demoqa.tests.BookStoreWebTests","checkBookDetails","checkBookDetails(String, Map) Check details for {ISBN=9781449331818, Total Pages=254, Title=Learning JavaScript Design Patterns, Author=Addy Osmani, Publisher=O'Reilly Media, Sub Title=A JavaScript and jQuery Developer's Guide}.",""
